zona;data_mostra;parametre;valor;unitat
ZONA MIAMI PLATJA;20/04/2026;Organolèptic;Correcte;
ZONA MIAMI PLATJA;20/04/2026;pH;7.8;unitats pH
ZONA MIAMI PLATJA;20/04/2026;Conductivitat;875;µS/cm
ZONA MIAMI PLATJA;20/04/2026;Terbolesa;2.05;UNF
ZONA MIAMI PLATJA;20/04/2026;Clor lliure;0.21;mg/L
ZONA MIAMI PLATJA;23/02/2026;Duresa;899.1;mg/L CaCO3
ZONA MIAMI PLATJA;25/02/2026;Clorurs;831.06;mg/L
ZONA MIAMI PLATJA;23/02/2026;Nitrats;21.18;mg/L

ZONA COSTA ZÈFIR;20/04/2026;Microbiologia;Correcte;
ZONA COSTA ZÈFIR;20/04/2026;Organolèptic;Correcte;
ZONA COSTA ZÈFIR;20/04/2026;pH;7.4;unitats pH
ZONA COSTA ZÈFIR;20/04/2026;Conductivitat;2580;µS/cm
ZONA COSTA ZÈFIR;20/04/2026;Terbolesa;0.20;UNF
ZONA COSTA ZÈFIR;20/04/2026;Clor lliure;0.34;mg/L
ZONA COSTA ZÈFIR;20/04/2026;Duresa;770.6;mg/L CaCO3
ZONA COSTA ZÈFIR;20/04/2026;Clorurs;641.4;mg/L
ZONA COSTA ZÈFIR;20/04/2026;Nitrats;6.0;mg/L

ZONA ROMA;25/03/2026;Microbiologia;Correcte;
ZONA ROMA;25/03/2026;Organolèptic;Correcte;
ZONA ROMA;25/03/2026;pH;7.6;unitats pH
ZONA ROMA;25/03/2026;Conductivitat;779;µS/cm
ZONA ROMA;25/03/2026;Terbolesa;0.20;UNF
ZONA ROMA;25/03/2026;Clor lliure;0.37;mg/L
ZONA ROMA;28/01/2026;Duresa;365.1;mg/L CaCO3
ZONA ROMA;28/01/2026;Clorurs;175.2;mg/L
ZONA ROMA;28/01/2026;Nitrats;11.1;mg/L

ZONA RANXOS;20/04/2026;Microbiologia;Correcte;
ZONA RANXOS;20/04/2026;Organolèptic;Correcte;
ZONA RANXOS;20/04/2026;pH;7.7;unitats pH
ZONA RANXOS;20/04/2026;Conductivitat;796;µS/cm
ZONA RANXOS;20/04/2026;Terbolesa;0.20;UNF
ZONA RANXOS;20/04/2026;Clor lliure;0.45;mg/L
ZONA RANXOS;30/09/2025;Duresa;453.6;mg/L CaCO3
